"uid","namedLocation","plotID","collectDate","identifiedDate","sampleID","sampleCode","subsampleID","scientificName","taxonID","family","subtribe","subfamily","tribe","genus","subgenus","specificEpithet","infraspecificEpithet","identificationQualifier","scientificNameAuthorship","sexOrAge","individualCount","sampleCondition","archiveMedium","archiveFacilityID","deprecatedVialID","identifiedBy","laboratoryName","remarks","identificationReferences","identificationProtocolVersion","dataQF"
"d8b43728-5068-4d7b-a150-076e9d91d0f1","TALL_006.tickPlot.tck","TALL_006","2014-06-17T13:07Z","2015-02-13T12:00Z","TALL_006.20140617",NA,"TALL_006.20140617.AMBAME.N","Amblyomma americanum","AMBAME","Ixodidae",NA,"Ambylomminae",NA,"Amblyomma",NA,"americanum",NA,NA,"(Linneaus, 1758)","Nymph",6,"OK","95% ethanol","125270",NA,"Philip Panhorst","Georgia Southern University","","Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf","legacyData"
"22f659ce-3675-4e38-908e-d2b7d8ec6861","TALL_008.tickPlot.tck","TALL_008","2014-06-17T14:37Z","2015-02-13T12:00Z","TALL_008.20140617",NA,"TALL_008.20140617.AMBAME.N","Amblyomma americanum","AMBAME","Ixodidae",NA,"Ambylomminae",NA,"Amblyomma",NA,"americanum",NA,NA,"(Linneaus, 1758)","Nymph",12,"OK","95% ethanol","125276",NA,"Philip Panhorst","Georgia Southern University","","Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf","legacyData"
"14a3645c-fddc-4ed1-bf79-40e52cadf125","TALL_008.tickPlot.tck","TALL_008","2014-06-17T14:37Z","2015-02-13T17:00Z","TALL_008.20140617",NA,"TALL_008.20140617.AMBAME.F","Amblyomma americanum","AMBAME","Ixodidae",NA,"Ambylomminae",NA,"Amblyomma",NA,"americanum",NA,NA,"(Linneaus, 1758)","Female",5,"OK","90% ethanol","125276",NA,"Philip Panhorst","Georgia Southern University","","Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",""
"5da8e9b2-9b93-4b0c-ab14-0f80ed4170a7","TALL_008.tickPlot.tck","TALL_008","2014-06-17T14:37Z","2015-02-13T17:00Z","TALL_008.20140617",NA,"TALL_008.20140617.AMBAME.M","Amblyomma americanum","AMBAME","Ixodidae",NA,"Ambylomminae",NA,"Amblyomma",NA,"americanum",NA,NA,"(Linneaus, 1758)","Male",2,"OK","90% ethanol","125276",NA,"Philip Panhorst","Georgia Southern University","","Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",""
"1091dfda-7290-41fd-8933-a0c7b69c3595","TALL_002.tickPlot.tck","TALL_002","2014-06-17T15:55Z","2015-02-16T12:00Z","TALL_002.20140617",NA,"TALL_002.20140617.AMBAME.N","Amblyomma americanum","AMBAME","Ixodidae",NA,"Ambylomminae",NA,"Amblyomma",NA,"americanum",NA,NA,"(Linneaus, 1758)","Nymph",47,"OK","95% ethanol","125253",NA,"Philip Panhorst","Georgia Southern University","A small spider removed from original sample","Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf","legacyData"
"bb0b7e3a-1e94-43da-bb68-c453877a5988","TALL_002.tickPlot.tck","TALL_002","2014-06-17T15:55Z","2015-02-16T17:00Z","TALL_002.20140617",NA,"TALL_002.20140617.AMBAME.M","Amblyomma americanum","AMBAME","Ixodidae",NA,"Ambylomminae",NA,"Amblyomma",NA,"americanum",NA,NA,"(Linneaus, 1758)","Male",2,"OK","90% ethanol","125253",NA,"Philip Panhorst","Georgia Southern University","A small spider removed from original sample","Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",""
"4a205970-dd04-4ea5-b659-c85b0a6aaec3","TALL_002.tickPlot.tck","TALL_002","2014-06-17T15:55Z","2015-02-16T17:00Z","TALL_002.20140617",NA,"TALL_002.20140617.AMBAME.F","Amblyomma americanum","AMBAME","Ixodidae",NA,"Ambylomminae",NA,"Amblyomma",NA,"americanum",NA,NA,"(Linneaus, 1758)","Female",7,"OK","90% ethanol","125253",NA,"Philip Panhorst","Georgia Southern University","A small spider removed from original sample","Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",""
"4ea494e3-f5c0-4532-bb20-030ba4538632","TALL_006.tickPlot.tck","TALL_006","2014-07-09T13:40Z","2015-02-18T17:00Z","TALL_006.20140709",NA,"TALL_006.20140709.AMBSPP.N","Amblyomma spp.","AMBSPP","Ixodidae",NA,"Ambylomminae",NA,"Amblyomma",NA,"",NA,NA,"","Nymph",4,"OK","90% ethanol","125271",NA,"Lorenza Beati","Georgia Southern University",NA,"Keirans, J. E., and L. A. Durden. 1998. Illustrated Key to Nymphs of the Tick Genus Amblyomma (Acari: Ixodidae) Found in the United States. Journal of Medical Entomology, 35:489–495.","GSU_tickIdentification_SOP_2016-11-01.pdf",""
"fe9df603-4016-432a-8113-fe75c20ce743","TALL_016.tickPlot.tck","TALL_016","2014-07-09T14:45Z","2015-02-20T17:00Z","TALL_016.20140709",NA,"TALL_016.20140709.AMBSPP.N","Amblyomma spp.","AMBSPP","Ixodidae",NA,"Ambylomminae",NA,"Amblyomma",NA,"",NA,NA,"","Nymph",1,"OK","90% ethanol","125282",NA,"Lorenza Beati","Georgia Southern University",NA,"Keirans, J. E., and L. A. Durden. 1998. Illustrated Key to Nymphs of the Tick Genus Amblyomma (Acari: Ixodidae) Found in the United States. Journal of Medical Entomology, 35:489–495.","GSU_tickIdentification_SOP_2016-11-01.pdf",""
"980d9f5e-ff04-44fe-833d-4e7535285e5a","TALL_008.tickPlot.tck","TALL_008","2014-07-10T13:25Z","2015-02-20T12:00Z","TALL_008.20140710",NA,"TALL_008.20140710.AMBAME.N","Amblyomma americanum","AMBAME","Ixodidae",NA,"Ambylomminae",NA,"Amblyomma",NA,"americanum",NA,NA,"(Linneaus, 1758)","Nymph",6,"OK","95% ethanol","125277",NA,"Philip Panhorst","Georgia Southern University",NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf","legacyData"
"912e7998-0525-4faa-b6b0-9ff10cd4b676","TALL_008.tickPlot.tck","TALL_008","2014-07-10T13:25Z","2015-02-20T17:00Z","TALL_008.20140710",NA,"TALL_008.20140710.AMBAME.M","Amblyomma americanum","AMBAME","Ixodidae",NA,"Ambylomminae",NA,"Amblyomma",NA,"americanum",NA,NA,"(Linneaus, 1758)","Male",1,"OK","90% ethanol","125277",NA,"Philip Panhorst","Georgia Southern University",NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",""
"bb599dac-f2bb-4b55-a925-8952f6267dc7","TALL_002.tickPlot.tck","TALL_002","2014-07-10T14:30Z","2015-02-23T12:00Z","TALL_002.20140710",NA,"TALL_002.20140710.AMBAME.N","Amblyomma americanum","AMBAME","Ixodidae",NA,"Ambylomminae",NA,"Amblyomma",NA,"americanum",NA,NA,"(Linneaus, 1758)","Nymph",50,"OK","95% ethanol","125254",NA,"Philip Panhorst","Georgia Southern University",NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf","legacyData"
"68e768a6-c0c8-4e8b-9251-3660e9baac5b","TALL_002.tickPlot.tck","TALL_002","2014-07-10T14:30Z","2015-02-25T17:00Z","TALL_002.20140710",NA,"TALL_002.20140710.IXOSP.L","Ixodidae sp.","IXOSP","",NA,"",NA,"",NA,"",NA,NA,"","Larva",1,"OK","90% ethanol","125255",NA,"Philip Panhorst","Georgia Southern University",NA,"","GSU_tickIdentification_SOP_2016-11-01.pdf",""
"135a96e9-6370-4bee-890b-aa49fcee9102","TALL_002.tickPlot.tck","TALL_002","2014-07-10T14:30Z","2015-02-23T17:00Z","TALL_002.20140710",NA,"TALL_002.20140710.AMBAME.F","Amblyomma americanum","AMBAME","Ixodidae",NA,"Ambylomminae",NA,"Amblyomma",NA,"americanum",NA,NA,"(Linneaus, 1758)","Female",3,"OK","90% ethanol","125254",NA,"Philip Panhorst","Georgia Southern University",NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",""
"a6f7e2e3-6a01-4b12-b037-d018fc1f142c","TALL_002.tickPlot.tck","TALL_002","2014-07-10T14:30Z","2015-02-23T17:00Z","TALL_002.20140710",NA,"TALL_002.20140710.AMBAME.M","Amblyomma americanum","AMBAME","Ixodidae",NA,"Ambylomminae",NA,"Amblyomma",NA,"americanum",NA,NA,"(Linneaus, 1758)","Male",6,"OK","90% ethanol","125254",NA,"Philip Panhorst","Georgia Southern University",NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",""
"b249cbf4-873d-424c-bd33-5355ae49992c","TALL_002.tickPlot.tck","TALL_002","2014-07-10T14:30Z","2015-02-23T17:00Z","TALL_002.20140710",NA,"TALL_002.20140710.AMBAME.L","Amblyomma americanum","AMBAME","Ixodidae",NA,"Ambylomminae",NA,"Amblyomma",NA,"americanum",NA,NA,"(Linneaus, 1758)","Larva",1,"OK","90% ethanol","125254",NA,"Philip Panhorst","Georgia Southern University",NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",""
"337d3319-2e63-467a-a7ac-e216cde92529","TALL_001.tickPlot.tck","TALL_001","2014-07-11T12:55Z","2015-02-27T12:00Z","TALL_001.20140711",NA,"TALL_001.20140711.AMBAME.N","Amblyomma americanum","AMBAME","Ixodidae",NA,"Ambylomminae",NA,"Amblyomma",NA,"americanum",NA,NA,"(Linneaus, 1758)","Nymph",11,"OK","95% ethanol","125248",NA,"Philip Panhorst","Georgia Southern University",NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf","legacyData"
"214c45c5-c614-4f7d-b3d1-81d627b54ae0","TALL_001.tickPlot.tck","TALL_001","2014-07-11T12:55Z","2015-02-27T17:00Z","TALL_001.20140711",NA,"TALL_001.20140711.AMBAME.M","Amblyomma americanum","AMBAME","Ixodidae",NA,"Ambylomminae",NA,"Amblyomma",NA,"americanum",NA,NA,"(Linneaus, 1758)","Male",1,"OK","90% ethanol","125248",NA,"Philip Panhorst","Georgia Southern University",NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",""
