"uid","namedLocation","plotID","collectDate","identifiedDate","eventID","subsampleID","scientificName","acceptedTaxonID","taxonRank","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet","identificationQualifier","identificationReferences","identificationProtocolVersion","scientificNameAuthorship","sexOrAge","individualCount","sampleCondition","archiveMedium","archiveFacilityID","deprecatedVialID","identifiedBy","laboratoryName","remarks","dataQF"
"fd97390a-8d07-478a-82f3-6e7b301edf70","TALL_006.tickPlot.tck","TALL_006","2014-07-09T13:40Z","2015-02-18T17:00Z","TALL_006.20140709","TALL_006.20140709.AMBSPP.N","Amblyomma spp.","AMBSPP","genus","Ixodidae",NA,NA,NA,"Amblyomma",NA,"spp.",NA,NA,"Keirans, J. E., and L. A. Durden. 1998. Illustrated Key to Nymphs of the Tick Genus Amblyomma (Acari: Ixodidae) Found in the United States. Journal of Medical Entomology, 35:489–495.","GSU_tickIdentification_SOP_2016-11-01.pdf","","Nymph",4,"OK","90% ethanol","125271",NA,"Lorenza Beati","Georgia Southern University",NA,""
"0cc8a54b-d106-4ee0-a913-710eb346d153","TALL_016.tickPlot.tck","TALL_016","2014-07-09T14:45Z","2015-02-20T17:00Z","TALL_016.20140709","TALL_016.20140709.AMBSPP.N","Amblyomma spp.","AMBSPP","genus","Ixodidae",NA,NA,NA,"Amblyomma",NA,"spp.",NA,NA,"Keirans, J. E., and L. A. Durden. 1998. Illustrated Key to Nymphs of the Tick Genus Amblyomma (Acari: Ixodidae) Found in the United States. Journal of Medical Entomology, 35:489–495.","GSU_tickIdentification_SOP_2016-11-01.pdf","","Nymph",1,"OK","90% ethanol","125282",NA,"Lorenza Beati","Georgia Southern University",NA,""
"eea88fe2-7bb3-4722-8f36-4b65bd90f2af","TALL_008.tickPlot.tck","TALL_008","2014-07-10T13:25Z","2015-02-20T12:00Z","TALL_008.20140710","TALL_008.20140710.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",NA,NA,NA,"Amblyomma",NA,"americanum",NA,NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf","Linnaeus","Nymph",6,"OK","95% ethanol","125277",NA,"Philip Panhorst","Georgia Southern University",NA,"legacyData"
"75dd5908-858b-4427-82d4-7c4f7079365b","TALL_008.tickPlot.tck","TALL_008","2014-07-10T13:25Z","2015-02-20T17:00Z","TALL_008.20140710","TALL_008.20140710.AMBAME.M","Amblyomma americanum","AMBAME","species","Ixodidae",NA,NA,NA,"Amblyomma",NA,"americanum",NA,NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf","Linnaeus","Male",1,"OK","90% ethanol","125277",NA,"Philip Panhorst","Georgia Southern University",NA,""
"33e6b7cb-cc7f-4a81-877f-98158c3bcf00","TALL_002.tickPlot.tck","TALL_002","2014-07-10T14:30Z","2015-02-25T17:00Z","TALL_002.20140710","TALL_002.20140710.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",NA,NA,NA,"",NA,"sp.",NA,NA,"","GSU_tickIdentification_SOP_2016-11-01.pdf","","Larva",1,"OK","90% ethanol","125255",NA,"Philip Panhorst","Georgia Southern University",NA,""
"f92f854d-161c-41b3-883b-fd75e63d9485","TALL_002.tickPlot.tck","TALL_002","2014-07-10T14:30Z","2015-02-23T12:00Z","TALL_002.20140710","TALL_002.20140710.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",NA,NA,NA,"Amblyomma",NA,"americanum",NA,NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf","Linnaeus","Nymph",50,"OK","95% ethanol","125254",NA,"Philip Panhorst","Georgia Southern University",NA,"legacyData"
"8bc46977-f13a-4dd4-9e28-d19189564e9e","TALL_002.tickPlot.tck","TALL_002","2014-07-10T14:30Z","2015-02-23T17:00Z","TALL_002.20140710","TALL_002.20140710.AMBAME.F","Amblyomma americanum","AMBAME","species","Ixodidae",NA,NA,NA,"Amblyomma",NA,"americanum",NA,NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf","Linnaeus","Female",3,"OK","90% ethanol","125254",NA,"Philip Panhorst","Georgia Southern University",NA,""
"1ad4b9a6-bad9-451f-8bf9-1ae8ba26d04e","TALL_002.tickPlot.tck","TALL_002","2014-07-10T14:30Z","2015-02-23T17:00Z","TALL_002.20140710","TALL_002.20140710.AMBAME.M","Amblyomma americanum","AMBAME","species","Ixodidae",NA,NA,NA,"Amblyomma",NA,"americanum",NA,NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf","Linnaeus","Male",6,"OK","90% ethanol","125254",NA,"Philip Panhorst","Georgia Southern University",NA,""
"8a03412c-6508-4e83-b63d-1e8c22fbca0b","TALL_002.tickPlot.tck","TALL_002","2014-07-10T14:30Z","2015-02-23T17:00Z","TALL_002.20140710","TALL_002.20140710.AMBAME.L","Amblyomma americanum","AMBAME","species","Ixodidae",NA,NA,NA,"Amblyomma",NA,"americanum",NA,NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf","Linnaeus","Larva",1,"OK","90% ethanol","125254",NA,"Philip Panhorst","Georgia Southern University",NA,""
"fdcff068-9f26-4582-9bb6-bfc4a03c2041","TALL_001.tickPlot.tck","TALL_001","2014-07-11T12:55Z","2015-02-27T12:00Z","TALL_001.20140711","TALL_001.20140711.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",NA,NA,NA,"Amblyomma",NA,"americanum",NA,NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf","Linnaeus","Nymph",11,"OK","95% ethanol","125248",NA,"Philip Panhorst","Georgia Southern University",NA,"legacyData"
"11af870c-2cdd-4a4b-b476-31cd70ca946a","TALL_001.tickPlot.tck","TALL_001","2014-07-11T12:55Z","2015-02-25T17:00Z","TALL_001.20140711","TALL_001.20140711.DERVAR.M","Dermacentor variabilis","DERVAR","species","Ixodidae",NA,NA,NA,"Dermacentor",NA,"variabilis",NA,NA,"Yunker, C. E., Keirans, J. E., Clifford, C. M., and E. R. Easton. 1986. Dermacentor ticks (Acari: Ixodoidea: Ixodidae) of the New World: a scanning electron microscope atlas. Proceedings of the Entomological Society of Washington, 88(4):609-627.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Male",1,"OK","90% ethanol","125248",NA,"Philip Panhorst","Georgia Southern University",NA,""
"0fc2c734-eef3-4a35-9879-b82d258708ad","TALL_001.tickPlot.tck","TALL_001","2014-07-11T12:55Z","2015-02-27T17:00Z","TALL_001.20140711","TALL_001.20140711.AMBAME.M","Amblyomma americanum","AMBAME","species","Ixodidae",NA,NA,NA,"Amblyomma",NA,"americanum",NA,NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf","Linnaeus","Male",1,"OK","90% ethanol","125248",NA,"Philip Panhorst","Georgia Southern University",NA,""
"2b5bec85-b23b-47a5-9311-26d2e3043140","TALL_002.tickPlot.tck","TALL_002","2015-06-03T13:39Z","2016-08-02T16:00Z","TALL_002.20150603","TALL_002.20150603.AMBAME.F","Amblyomma americanum","AMBAME","species","Ixodidae",NA,NA,NA,"Amblyomma",NA,"americanum",NA,NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf","Linnaeus","Female",2,"OK","90% ethanol","127003",NA,"L. Beati","Georgia Southern University",NA,""
