Name,Code,Supplier,HOPB,LEWI,POSE,BARC,FLNT,SUGG,CUPE,GUIL,CRAM,LIRO,KING,MCDI,LECO,WALK,BLWA,MAYF,TOMB,PRLA,PRPO,ARIK,BLUE,PRIN,BLDE,COMO,WLOU,SYCA,REDB,MART,MCRA,BIGC,TECR,OKSR,TOOK,CARI,BART,HARV,BLAN,SCBI,SERC,DSNY,JERC,OSBS,GUAN,LAJA,STEI,TREE,UNDE,KONA,KONZ,UKFS,GRSM,MLBS,ORNL,DELA,LENO,TALL,DCFS,NOGP,WOOD,CPER,RMNP,STER,CLBJ,OAES,YELL,MOAB,NIWO,JORN,SRER,ONAQ,ABBY,WREF,SJER,SOAP,TEAK,BARR,TOOL,BONA,DEJU,HEAL,PUUM
Shortwave/longwave radiation on lakes (Net radiometer),DP1.20032,AIS,NA,NA,NA,2017,2018,2017,NA,NA,2017,2017,NA,NA,NA,NA,2018,NA,2018,2017,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nitrate in surface water,DP1.20033,AIS,2017,2017,2016,2017,2018,2017,2018,2018,2017,2017,2016,2017,2017,2016,2018,2016,2018,2017,2017,2015,2018,2017,2018,2017,2017,2017,2018,2018,2017,2018,2018,2017,2017,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Photosynthetically active radiation at water surface,DP1.20042,AIS,2017,2017,2016,2017,2018,2017,2018,2018,2017,2017,2016,2017,2017,2016,2018,2016,2018,2017,2017,2015,2018,2017,2018,2017,2017,2017,2018,2018,2017,2018,2018,2017,2017,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Air temperature of lakes on-buoy,DP1.20046,AIS,NA,NA,NA,2017,2018,2017,NA,NA,2017,2017,NA,NA,NA,NA,2018,NA,2018,2017,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Temperature (PRT) in surface water,DP1.20053,AIS,2017,2017,2016,2017,2018,2017,2018,2018,2017,2017,2016,2017,2017,2016,2018,2016,2018,2017,2017,2015,2018,2017,2018,2017,2017,2017,2018,2018,2017,2018,2018,2017,2017,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Water quality,DP1.20288,AIS,2017,2017,2016,2017,2018,2017,2018,2018,2017,2017,2016,2017,2017,2016,2018,2016,2018,2017,2017,2015,2018,2017,2018,2017,2017,2017,2018,2018,2017,2018,2018,2017,2017,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Windspeed and direction on lakes on-buoy,DP1.20059,AIS,NA,NA,NA,2017,2018,2017,NA,NA,2017,2017,NA,NA,NA,NA,2018,NA,2018,2017,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elevation of groundwater,DP1.20100,AIS,2017,2017,2016,2017,2018,2017,2018,2018,2017,2017,2016,2017,2017,2016,2018,2016,2018,2017,2017,2015,2018,2017,2018,2017,2017,2017,2018,2018,2017,2018,2018,2017,2017,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Photosynthetically active radiation below water surface,DP1.20261,AIS,2017,2017,2016,2017,2018,2017,2018,2018,2017,2017,2016,2017,2017,2016,2018,2016,2018,2017,2017,2015,2018,2017,2018,2017,2017,2017,2018,2018,2017,2018,2018,2017,2017,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Temperature at specific depth in lakes,DP1.20264,AIS,NA,NA,NA,2017,2018,2017,NA,NA,2017,2017,NA,NA,NA,NA,2018,NA,2018,2017,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gauge Height,DP1.20267,AIS,2017,2017,2016,2017,2018,2017,2018,2018,2017,2017,2016,2017,2017,2016,2018,2016,2018,2017,2017,2015,2018,2017,2018,2017,2017,2017,2018,2018,2017,2018,2018,2017,2017,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Relative Humidity of the air above lakes on buoy,DP1.20271,AIS,NA,NA,NA,2017,2018,2017,NA,NA,2017,2017,NA,NA,NA,NA,2018,NA,2018,2017,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stream discharge rating curve,DP4.00133,AIS,2017,2017,2016,NA,2018,NA,2018,2018,NA,NA,2016,2017,2017,2016,2018,2016,2018,NA,NA,2015,2018,2017,2018,2017,2017,2017,2018,2018,2017,2018,2018,2017,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stream discharge - Streams,DP4.00130,AIS,2017,2017,2016,NA,2018,NA,2018,2018,NA,NA,2016,2017,2017,2016,2018,2016,2018,NA,NA,2015,2018,2017,2018,2017,2017,2017,2018,2018,2017,2018,2018,2017,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2D Wind Speed and Direction,DP1.00001,TIS,2017,2017,2016,2017,2018,2017,2018,2018,2017,2017,2016,2017,2017,2016,NA,2016,NA,2017,2017,2015,2018,2017,2018,2017,2017,2017,2018,2018,2017,2018,2018,2017,2017,2017,2014,2014,2014,2014,2015,2014,2014,2014,2018,2015,2017,2017,2014,2015,2015,2015,2017,2015,2015,2014,2015,2015,2017,2017,2015,2014,2014,2013,2017,2014,2018,2015,2017,2014,2017,2015,2016,2018,2018,2017,2018,2017,2017,2017,2017,2016,2018
Single Aspirated Air Temperature,DP1.00002,TIS,2017,2017,2016,2017,2018,2017,2018,2018,2017,2017,2016,2017,2017,2016,NA,2016,NA,2017,2017,2015,2018,2017,2018,2017,2017,2017,2018,2018,2017,2018,2018,2017,2017,2017,2014,2014,2014,2014,2015,2014,2014,2014,2018,2015,2017,2017,2014,2015,2015,2015,2017,2015,2015,2014,2015,2015,2017,2017,2015,2014,2014,2013,2017,2014,2018,2015,2017,2014,2017,2015,2016,2018,2018,2017,2018,2017,2017,2017,2017,2016,2018
